query,complexity,selectivity,purpose,method,status,plan_nodes,uses_index,uses_scan,uses_cte_or_subquery,disallowed,pathlike,semicolons,error
q1_customer_orders,1,0.025,analytics,reference,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,analytics,post_join_filter,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,analytics,view_barrier,PASS,12,1,1,1,0,0,0,
q1_customer_orders,1,0.025,analytics,predicate_injection,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,analytics,pcqv_forced,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,analytics,pcqv,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,analytics,oracle_order,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,support,reference,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,support,post_join_filter,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,support,view_barrier,PASS,12,1,1,1,0,0,0,
q1_customer_orders,1,0.025,support,predicate_injection,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,support,pcqv_forced,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,support,pcqv,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,support,oracle_order,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,billing,reference,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,billing,post_join_filter,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,billing,view_barrier,PASS,12,1,1,1,0,0,0,
q1_customer_orders,1,0.025,billing,predicate_injection,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,billing,pcqv_forced,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,billing,pcqv,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.025,billing,oracle_order,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,analytics,reference,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,analytics,post_join_filter,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,analytics,view_barrier,PASS,12,1,1,1,0,0,0,
q1_customer_orders,1,0.1,analytics,predicate_injection,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,analytics,pcqv_forced,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,analytics,pcqv,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,analytics,oracle_order,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,support,reference,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,support,post_join_filter,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,support,view_barrier,PASS,12,1,1,1,0,0,0,
q1_customer_orders,1,0.1,support,predicate_injection,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,support,pcqv_forced,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,support,pcqv,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,support,oracle_order,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,billing,reference,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,billing,post_join_filter,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,billing,view_barrier,PASS,12,1,1,1,0,0,0,
q1_customer_orders,1,0.1,billing,predicate_injection,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,billing,pcqv_forced,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,billing,pcqv,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.1,billing,oracle_order,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.5,analytics,reference,PASS,4,1,1,0,0,0,0,
q1_customer_orders,1,0.5,analytics,post_join_filter,PASS,6,1,0,0,0,0,0,
q1_customer_orders,1,0.5,analytics,view_barrier,PASS,12,1,1,1,0,0,0,
q1_customer_orders,1,0.5,analytics,predicate_injection,PASS,4,1,1,0,0,0,0,
q1_customer_orders,1,0.5,analytics,pcqv_forced,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.5,analytics,pcqv,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.5,analytics,oracle_order,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.5,support,reference,PASS,4,1,1,0,0,0,0,
q1_customer_orders,1,0.5,support,post_join_filter,PASS,6,1,0,0,0,0,0,
q1_customer_orders,1,0.5,support,view_barrier,PASS,12,1,1,1,0,0,0,
q1_customer_orders,1,0.5,support,predicate_injection,PASS,4,1,1,0,0,0,0,
q1_customer_orders,1,0.5,support,pcqv_forced,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.5,support,pcqv,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.5,support,oracle_order,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.5,billing,reference,PASS,4,1,1,0,0,0,0,
q1_customer_orders,1,0.5,billing,post_join_filter,PASS,6,1,0,0,0,0,0,
q1_customer_orders,1,0.5,billing,view_barrier,PASS,12,1,1,1,0,0,0,
q1_customer_orders,1,0.5,billing,predicate_injection,PASS,4,1,1,0,0,0,0,
q1_customer_orders,1,0.5,billing,pcqv_forced,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.5,billing,pcqv,PASS,4,1,0,0,0,0,0,
q1_customer_orders,1,0.5,billing,oracle_order,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,analytics,reference,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,analytics,post_join_filter,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,analytics,view_barrier,PASS,12,1,1,1,0,0,0,
q1_customer_orders,2,0.025,analytics,predicate_injection,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,analytics,pcqv_forced,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,analytics,pcqv,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,analytics,oracle_order,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,support,reference,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,support,post_join_filter,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,support,view_barrier,PASS,12,1,1,1,0,0,0,
q1_customer_orders,2,0.025,support,predicate_injection,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,support,pcqv_forced,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,support,pcqv,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,support,oracle_order,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,billing,reference,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,billing,post_join_filter,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,billing,view_barrier,PASS,12,1,1,1,0,0,0,
q1_customer_orders,2,0.025,billing,predicate_injection,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,billing,pcqv_forced,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,billing,pcqv,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.025,billing,oracle_order,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,analytics,reference,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,analytics,post_join_filter,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,analytics,view_barrier,PASS,12,1,1,1,0,0,0,
q1_customer_orders,2,0.1,analytics,predicate_injection,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,analytics,pcqv_forced,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,analytics,pcqv,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,analytics,oracle_order,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,support,reference,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,support,post_join_filter,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,support,view_barrier,PASS,12,1,1,1,0,0,0,
q1_customer_orders,2,0.1,support,predicate_injection,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,support,pcqv_forced,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,support,pcqv,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,support,oracle_order,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,billing,reference,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,billing,post_join_filter,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,billing,view_barrier,PASS,12,1,1,1,0,0,0,
q1_customer_orders,2,0.1,billing,predicate_injection,PASS,4,1,0,0,0,0,0,
q1_customer_orders,2,0.1,billing,pcqv_forced,PASS,4,1,0,0,0,0,0,
